100KHZ_X,100KHZ_Y,1KHZ_X,1KHZ_Y,1MHZ_X,1MHZ_Y
0.517456434,303.5061128,-0.078297039,254.2886343,5.289399995,440.1088871
0.59053367,310.4172934,-0.008699671,258.3084026,5.429464698,439.8723437
0.563738684,307.6034556,0.085256776,262.7160433,5.581708942,441.3018885
0.657115153,316.5989604,0.157754035,267.6584776,5.722643613,441.9483425
0.64899546,313.0336689,0.234891118,270.908378,5.874017889,442.248062
0.697713618,320.5207811,0.271429737,276.0917634,6.007992823,441.4767249
0.763831118,325.3750627,0.234891118,273.2943808,6.117608678,442.9885456
0.831688552,329.6739815,0.344506973,280.4935272,,
0.916945328,335.7829714,0.381045592,284.5661872,,
0.88040671,332.5330711,0.420020118,288.2027845,,
0.971753256,339.9379074,0.474422061,295.4677517,,
1.048484354,344.973196,0.454122828,291.8887475,,
1.014381644,342.1593582,0.539379605,300.6099991,,
1.08745888,349.2350907,0.59053367,305.1351768,,
1.148356578,353.1431987,0.653867276,310.0717344,,
1.194638828,357.2158587,0.624636381,307.8502835,,
1.245792893,361.0416908,0.697713618,314.0538908,,
1.324089933,364.3738671,0.722072697,317.0651908,,
1.400647038,369.5807599,0.758611315,321.2201268,,
1.452845064,374.0824302,0.850827828,325.7276739,,
1.513742762,376.3450191,0.921817144,330.2622546,,
1.672076775,383.5770759,0.977843025,334.9190739,,
2.268874208,398.7652178,1.028997091,339.1480582,,
2.366310524,400.6575649,1.083979012,343.5345421,,
2.634260392,404.8125008,1.121561591,348.231324,,
2.780414866,406.5402959,1.172715657,352.2175942,,
2.926569339,408.0624012,1.221433815,355.4880636,,
3.072723813,409.4199545,1.282331512,359.1082057,,
3.218878286,410.7363698,1.345665117,362.4979752,,
3.36503276,411.8882333,1.416306446,365.9165413,,
3.511187233,412.8755448,1.477204143,372.0255313,,
3.657341707,413.8217183,1.452845064,368.487665,,
3.80349618,414.39765,1.55028138,375.5633975,,
3.949650654,415.3438235,1.611179077,378.504763,,
4.095805127,416.0431692,1.672076775,381.6106804,,
4.229780061,416.8864977,1.766033222,385.1779309,,
4.607345785,420.444933,1.846070195,388.3514322,,
4.753500258,421.2676925,1.933066906,391.4544112,,
4.899654732,422.8309358,2.037462958,394.832427,,
5.045809205,423.9416612,2.159258353,397.6956304,,
5.191963679,425.4226285,2.294973221,400.5165204,,
5.338118152,426.6156299,2.439387761,403.1258436,,
5.484272626,428.0143212,2.585542234,405.0593287,,
5.630427099,429.2895985,2.731696708,407.1985036,,
5.776581573,430.1946341,2.877851181,408.8028848,,
5.922736047,431.3876355,3.024005655,410.1193001,,
6.056710981,432.1528019,3.170160128,411.6002674,,
,,3.316314602,412.7932688,,
,,3.462469075,413.8628563,,
,,3.608623549,414.7678918,,
,,3.754778022,415.5906514,,
,,3.900932496,416.413411,,
,,4.04708697,416.9070667,,
,,4.193241443,417.6064124,,
,,4.339395917,418.2234821,,
,,4.48555039,418.8816897,,
,,4.631704864,419.3342075,,
,,4.777859337,419.7867253,,
,,4.924013811,420.1981051,,
,,5.070168284,420.7740368,,
,,5.216322758,421.1031406,,
,,5.362477231,421.5967964,,
,,5.508631705,421.9670382,,
,,5.654786178,422.255004,,
,,5.800940652,422.7897978,,
,,5.947095125,423.1189016,,
,,6.093249599,423.4068675,,
