AgingMOSFET0X,AgingMOSFET0Y,AgingMOSFET1X,AgingMOSFET1Y,AgingMOSFET2X,AgingMOSFET2Y,AgingMOSFET4X,AgingMOSFET4Y,AgingMOSFET5X,AgingMOSFET5Y,AgingMOSFET6X,AgingMOSFET6Y,AgingMOSFET7X,AgingMOSFET7Y
1.597512296,4.461214115,0.938001949,4.262946404,1.611252095,4.358519252,0.718165167,4.166362689,1.761015902,4.340553394,2.270762441,4.242039843,1.995966463,4.174265829
1.679951089,4.463281796,0.977847366,4.340002012,1.693690888,4.36219513,0.697555468,4.127168632,1.844828676,4.34220754,2.353201235,4.245715722,2.078405257,4.177022738
1.762389882,4.465808963,0.999831044,4.305678494,1.776129681,4.365871009,0.745644765,4.18391501,1.925893489,4.345791521,2.435640028,4.248702374,2.16084405,4.180468874
1.844828676,4.467876645,1.006700943,4.365181782,1.858568475,4.369087403,0.731904966,4.148534677,2.002836363,4.348640327,2.518078821,4.252378252,2.243282843,4.183455526
1.927267469,4.470174069,1.061660139,4.339259178,1.941007268,4.372074055,0.776068605,4.200541798,2.092145056,4.350478267,2.600517615,4.255364904,2.325721637,4.186442177
2.009706262,4.472471493,1.089139737,4.370236115,2.023446061,4.375290448,0.779994262,4.172657632,2.181453748,4.355073115,2.682956408,4.258581298,2.40816043,4.190118056
2.092145056,4.474768917,1.109749435,4.344964449,2.105884855,4.378736585,0.809763826,4.222511737,2.261144582,4.356267776,2.765395201,4.261797692,2.490599224,4.193104707
2.174583849,4.477066342,1.17157853,4.372993024,2.188323648,4.38202956,0.851746545,4.241074925,2.346331335,4.360127449,2.847833995,4.265243828,2.573038017,4.196091359
2.257022642,4.479593508,1.254017323,4.375979676,2.270762441,4.385475696,0.828083558,4.204362086,2.421900229,4.362884358,2.930272788,4.268460222,2.65547681,4.199537495
2.339461436,4.48166119,1.336456117,4.378736585,2.353201235,4.388921832,0.89601923,4.268046686,2.497469123,4.36371143,3.012711581,4.271906358,2.737915604,4.202294404
2.421900229,4.483958614,1.41889491,4.381493494,2.435640028,4.392061645,0.941436899,4.291118568,2.66234671,4.36977663,3.095150375,4.27489301,2.820354397,4.205740541
2.504339022,4.486026296,1.501333703,4.384480145,2.518078821,4.395967266,0.903652452,4.245715722,2.710436006,4.371155085,3.177589168,4.278109404,2.90279319,4.208727192
2.586777816,4.48832372,1.583772497,4.387237054,2.600517615,4.397805206,0.980938821,4.311536926,2.879435532,4.377220285,3.260027961,4.28155554,2.985231984,4.211943586
2.669216609,4.490850887,1.66621129,4.389993964,2.678049337,4.40108724,0.944871848,4.267770995,2.923402889,4.376668903,3.342466755,4.284771934,3.067670777,4.215389722
